Country,Production_2019_1000_tons,Printing_Writing_Paper_2019_1000_tons
China,99300,25089
United States,75083,10795
Japan,26627,7511
Germany,22698,6015
India,12000,5120
Indonesia,18260,4809
Finland,11392,4601
Canada,12112,2704
South Korea,11492,2605
Brazil,10159,2414
